21
29
-0.9 0.8125
-0.96875 0.829167
-0.9875 0.825
-0.99375 0.804167
-0.9875 0.783333
-0.98125 0.770833
-0.96875 0.75
-0.953125 0.733333
-0.934375 0.720833
-0.90625 0.7
-0.86875 0.691667
-0.853125 0.679167
-0.825 0.658333
-0.803125 0.629167
-0.778125 0.595833
-0.753125 0.5375
-0.7375 0.483333
-0.728125 0.404167
-0.721875 0.316667
-0.725 0.258333
-0.73125 0.225
-0.740625 0.158333
-0.753125 0.0666667
-0.75625 -0.0208333
-0.753125 -0.0833333
-0.734375 -0.15
-0.70625 -0.208333
-0.69375 -0.2375
-0.69375 -0.241667
9
-0.6375 -0.2125
-0.671875 -0.233333
-0.69375 -0.283333
-0.69375 -0.35
-0.709375 -0.4125
-0.709375 -0.45
-0.690625 -0.491667
-0.675 -0.520833
-0.675 -0.525
38
-0.521875 -0.516667
-0.525 -0.533333
-0.521875 -0.554167
-0.51875 -0.6125
-0.51875 -0.6625
-0.525 -0.720833
-0.54375 -0.766667
-0.5625 -0.804167
-0.575 -0.8375
-0.584375 -0.875
-0.59375 -0.929167
-0.6 -0.970833
-0.603125 -0.9875
-0.709375 -0.991667
-0.709375 -0.958333
-0.7 -0.933333
-0.7 -0.916667
-0.696875 -0.9125
-0.684375 -0.9
-0.675 -0.8875
-0.671875 -0.870833
-0.665625 -0.85
-0.6625 -0.833333
-0.659375 -0.804167
-0.653125 -0.7875
-0.64375 -0.758333
-0.63125 -0.725
-0.625 -0.704167
-0.63125 -0.670833
-0.634375 -0.633333
-0.6375 -0.595833
-0.65 -0.5625
-0.665625 -0.529167
-0.665625 -0.508333
-0.6625 -0.475
-0.65 -0.425
-0.6375 -0.391667
-0.63125 -0.383333
7
-0.521875 -0.604167
-0.50625 -0.5875
-0.503125 -0.570833
-0.496875 -0.55
-0.496875 -0.520833
-0.5 -0.495833
-0.5 -0.491667
7
-0.5125 -0.666667
-0.478125 -0.670833
-0.43125 -0.683333
-0.365625 -0.695833
-0.3125 -0.675
